batch_id,date,product,line,api_lot,shift,granulation_water_pct,massing_time_min,inlet_air_temp_c,blend_time_min,compression_force_kn,press_speed_rpm,api_d90_um,room_humidity_pct,tablet_weight_mg,hardness_kp,dissolution_30min_pct,assay_pct,content_uniformity_rsd
B24-1143,2025-03-12,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,31.33,5.5,60.05,13.92,13.18,41.6,54.5,49.3,250.32,6.72,84.07,100.27,3.1
B24-1144,2025-03-15,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,32.19,5.87,59.99,14.9,13.01,41.4,52.4,52.3,248.97,6.9,88.05,101.58,2.57
B24-1145,2025-03-18,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,33.29,6.09,61.57,14.06,13.54,40.6,53.2,57.2,250.96,7.55,84.81,99.83,2.84
B24-1146,2025-03-21,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,31.02,5.92,61.78,15.58,12.85,45.3,52.8,50.6,248.28,6.77,86.91,100.15,3.24
B24-1147,2025-03-24,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,32.2,5.77,60.3,15.91,12.35,47.8,53.7,50.5,251.12,7.2,85.89,100.78,3.07
B24-1148,2025-03-27,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,33.46,6.1,59.25,14.52,12.47,45.0,56.1,53.6,251.21,6.27,83.98,98.91,3.35
B24-1149,2025-03-30,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,30.68,5.8,60.73,15.18,12.91,39.3,54.3,55.5,243.58,6.72,84.51,99.01,2.84
B24-1150,2025-04-02,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,30.98,5.75,59.21,14.56,12.58,44.5,53.7,53.0,252.62,6.2,83.67,101.22,3.23
B24-1151,2025-04-05,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,31.66,6.12,60.0,14.62,13.43,44.6,51.9,57.0,243.3,7.08,81.35,101.36,2.65
B24-1152,2025-04-08,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,31.58,5.84,61.48,15.46,13.01,50.2,50.7,55.5,248.64,7.1,86.03,99.1,2.61
B24-1153,2025-04-11,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,32.65,6.1,59.16,14.98,14.45,41.4,53.0,55.4,252.26,8.27,83.73,101.06,3.29
B24-1154,2025-04-14,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,32.19,6.11,61.21,16.04,12.41,44.0,53.9,54.5,249.3,6.43,86.86,100.32,3.14
B24-1155,2025-04-17,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,30.58,5.54,61.02,14.71,13.4,49.3,57.5,59.7,246.77,7.76,83.04,100.26,2.78
B24-1156,2025-04-20,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,32.41,5.81,58.57,15.6,12.76,46.1,54.3,52.0,247.59,6.64,87.46,100.75,2.53
B24-1157,2025-04-23,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,31.54,6.58,61.46,15.06,13.09,46.4,56.0,46.4,252.26,6.86,83.17,101.12,3.08
B24-1158,2025-04-26,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,33.02,5.54,61.05,15.48,13.43,45.3,53.0,57.1,245.77,8.17,82.47,100.28,3.52
B24-1159,2025-04-29,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,31.5,5.15,60.15,14.73,12.22,45.8,51.6,50.7,252.48,6.35,87.71,101.44,2.11
B24-1160,2025-05-02,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,31.49,5.26,58.86,14.97,13.52,46.9,52.1,52.2,249.88,7.1,89.65,100.33,2.97
B24-1161,2025-05-05,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,32.43,6.01,58.71,14.93,14.37,43.0,52.5,55.6,247.38,7.71,86.42,100.66,2.34
B24-1162,2025-05-08,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,32.61,6.01,59.19,14.5,13.21,47.2,58.3,46.7,248.72,6.77,85.36,98.88,2.98
B24-1163,2025-05-11,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,32.36,5.95,60.81,15.4,13.59,41.6,52.4,47.5,247.76,7.58,85.16,102.53,2.66
B24-1164,2025-05-14,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,30.65,6.49,58.57,15.39,13.99,45.8,55.7,46.1,251.91,7.59,82.76,100.67,2.81
B24-1165,2025-05-17,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,32.43,4.93,60.66,15.36,13.42,45.4,52.2,48.3,251.61,7.26,87.33,100.93,2.59
B24-1166,2025-05-20,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,31.17,6.16,58.14,15.92,13.23,43.5,55.9,51.7,246.22,6.98,81.99,98.6,2.91
B24-1167,2025-05-23,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,32.19,6.62,59.69,15.87,12.4,44.9,54.8,51.6,249.11,6.6,84.4,99.44,2.64
B24-1168,2025-05-26,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,30.86,5.55,60.16,14.78,13.88,43.4,53.7,50.5,248.1,7.26,84.66,101.27,2.38
B24-1169,2025-05-29,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,32.36,5.85,63.67,15.22,13.52,42.3,53.9,45.1,252.85,6.84,88.7,100.41,3.22
B24-1170,2025-06-01,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,31.35,5.7,57.93,14.63,13.09,44.1,52.7,42.1,247.03,6.98,86.65,97.75,3.24
B24-1171,2025-06-04,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,30.97,5.64,62.21,15.01,13.68,42.2,54.9,48.8,253.53,7.56,80.25,101.15,3.33
B24-1172,2025-06-07,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,32.57,5.87,60.22,14.64,13.35,45.8,53.1,46.9,249.93,7.29,86.61,99.26,2.34
B24-1173,2025-06-10,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,32.19,6.57,60.62,15.97,13.4,42.1,51.5,49.3,247.44,6.82,85.61,101.94,2.8
B24-1174,2025-06-13,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,31.51,6.73,60.18,15.22,13.98,46.8,51.4,49.6,248.51,7.98,85.52,99.99,3.06
B24-1175,2025-06-16,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,33.16,5.87,60.67,14.87,13.03,42.0,54.3,47.5,248.24,6.53,85.68,100.17,2.57
B24-1176,2025-06-19,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,31.65,6.76,59.77,15.72,14.24,43.6,57.2,67.9,247.2,7.68,73.79,101.58,3.0
B24-1177,2025-06-22,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,32.03,6.01,62.18,13.7,13.04,43.4,54.3,47.0,250.21,6.51,87.22,98.49,3.11
B24-1178,2025-06-25,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,32.22,6.7,59.32,13.79,13.43,48.3,53.8,47.5,247.3,7.77,82.33,98.42,3.86
B24-1179,2025-06-28,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,31.5,5.96,61.7,15.48,14.74,45.8,54.6,43.4,245.2,8.58,83.36,99.97,3.68
B24-1180,2025-07-01,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,32.38,6.05,59.03,15.04,14.36,44.5,56.6,44.5,249.16,8.2,84.36,100.92,2.41
B24-1181,2025-07-04,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,31.57,6.15,59.91,15.15,13.87,46.2,54.4,45.3,246.03,8.06,83.51,98.6,3.95
B24-1182,2025-07-07,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,31.67,7.27,58.39,14.2,13.37,39.7,53.2,46.7,248.35,7.99,82.43,97.85,2.66
B24-1183,2025-07-10,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,33.09,6.34,60.68,14.99,13.6,44.9,56.2,42.7,248.0,6.75,86.49,100.9,3.45
B24-1184,2025-07-13,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,31.17,5.72,62.17,16.2,13.92,50.0,54.9,45.0,248.08,7.52,86.7,99.82,3.2
B24-1185,2025-07-16,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,30.07,6.39,59.88,15.49,13.92,45.3,57.1,42.2,254.4,7.43,84.22,99.77,2.63
B24-1186,2025-07-19,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,33.29,5.86,59.7,15.1,13.87,45.2,54.4,42.3,250.12,7.3,82.77,98.0,3.15
B24-1187,2025-07-22,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,34.04,5.8,58.33,14.74,13.92,46.4,51.6,44.7,250.54,7.3,88.14,99.15,2.82
B24-1188,2025-07-25,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,31.68,6.36,59.66,14.76,13.85,47.2,51.3,35.9,246.09,7.54,85.85,99.9,3.07
B24-1189,2025-07-28,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,30.45,6.01,57.61,13.72,13.26,40.0,57.3,37.6,248.56,6.49,86.52,100.51,3.4
B24-1190,2025-07-31,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,31.75,6.11,58.63,15.15,13.74,40.8,57.4,36.7,250.47,7.47,83.61,99.21,3.58
B24-1191,2025-08-03,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,31.77,6.01,60.34,15.51,14.48,45.5,53.6,33.8,247.75,8.14,85.06,102.03,2.89
B24-1192,2025-08-06,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,31.85,6.13,61.98,14.05,13.36,43.2,53.2,38.4,252.0,7.27,86.56,98.87,2.99
B24-1193,2025-08-09,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,31.11,6.17,64.21,14.6,13.97,48.3,56.9,42.3,247.35,7.95,83.49,99.09,3.59
B24-1194,2025-08-12,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,32.46,5.23,59.12,14.31,13.67,44.2,51.8,38.9,249.37,7.61,86.56,101.41,3.18
B24-1195,2025-08-15,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,32.42,6.27,62.15,14.42,14.16,40.2,52.2,40.1,248.71,7.56,88.15,100.0,3.24
B24-1196,2025-08-18,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,30.8,5.61,60.37,15.03,13.93,41.8,55.3,42.4,250.36,8.28,83.58,99.41,2.74
B24-1197,2025-08-21,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,32.56,5.42,59.77,13.75,14.88,38.1,53.2,42.9,248.59,8.32,86.88,99.33,2.68
B24-1198,2025-08-24,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,33.64,5.98,60.65,15.37,14.41,44.4,54.0,38.4,249.4,7.38,87.17,101.64,2.67
B24-1199,2025-08-27,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,32.14,6.03,60.09,15.45,13.52,44.5,53.7,42.5,249.48,6.93,85.55,101.79,2.62
B24-1200,2025-08-30,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,31.73,5.72,60.17,14.85,14.54,43.9,54.7,38.5,248.38,7.51,84.81,99.04,3.32
B24-1201,2025-09-02,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,31.89,6.33,59.39,13.51,13.83,47.7,56.8,59.1,251.07,7.64,71.68,99.36,3.7
B24-1202,2025-09-05,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,32.49,5.46,57.9,14.4,13.95,48.0,54.2,36.0,250.52,7.71,87.16,99.86,2.99
B24-1203,2025-09-08,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,30.62,5.84,57.68,15.74,14.42,44.6,55.3,33.2,249.81,7.88,85.84,99.21,3.48
B24-1204,2025-09-11,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,32.13,5.77,60.98,13.33,14.03,39.7,49.9,34.8,249.05,8.27,84.85,99.27,3.54
B24-1205,2025-09-14,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,31.69,5.98,59.58,14.79,14.75,46.5,53.9,36.3,251.75,8.57,84.99,99.92,3.07
B24-1206,2025-09-17,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,33.48,6.11,59.11,14.29,13.93,46.4,52.3,39.6,249.48,7.94,85.37,100.97,2.64
B24-1207,2025-09-20,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,31.86,5.6,60.01,15.48,14.03,45.8,51.6,42.3,249.33,7.42,89.83,101.52,3.39
B24-1208,2025-09-23,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,33.33,6.29,61.19,14.59,14.03,47.5,52.2,32.9,250.23,7.45,85.87,99.48,2.9
B24-1209,2025-09-26,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,31.12,6.03,60.27,15.24,14.1,42.1,53.3,38.2,253.73,7.71,84.46,99.86,2.93
B24-1210,2025-09-29,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,32.47,5.24,59.02,15.34,14.95,50.0,55.8,33.9,247.05,8.72,86.83,100.87,2.85
B24-1211,2025-10-02,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,32.26,5.22,61.84,16.1,14.73,42.6,51.3,38.4,251.69,7.6,90.1,99.8,2.3
B24-1212,2025-10-05,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,31.3,6.0,62.37,14.88,15.29,46.9,54.1,36.6,245.84,8.79,84.26,100.6,2.38
B24-1213,2025-10-08,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,32.14,5.91,60.74,15.23,15.59,40.8,53.0,31.6,250.48,8.93,85.76,99.99,3.12
B24-1214,2025-10-11,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,32.97,5.96,61.46,14.11,13.96,42.7,53.3,39.9,253.47,7.52,87.64,98.58,2.74
B24-1215,2025-10-14,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,B,31.74,5.99,61.86,15.71,14.54,48.8,56.0,35.4,251.08,7.98,81.77,99.23,4.17
B24-1216,2025-10-17,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,A,30.65,6.09,61.7,14.54,13.93,44.3,55.1,35.7,250.38,7.43,83.58,101.41,2.64
B24-1217,2025-10-20,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,31.99,6.38,60.92,14.66,14.15,47.1,56.7,34.2,248.77,7.83,85.06,99.69,2.63
B24-1218,2025-10-23,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,31.28,5.56,60.9,14.99,14.24,45.6,53.7,35.6,250.07,7.96,89.24,101.8,3.14
B24-1219,2025-10-26,Acetriptan 50 mg IR Tablet,Line-02,API-L0248,C,31.73,5.53,60.78,14.06,14.05,44.7,52.6,39.0,249.45,7.95,86.05,99.06,3.63
